sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
冬山,宜蘭縣,31,,良好,1,0.16,32,34.3,30,11,7.9,9.3,1.4,0.7,273,"2024-11-18 15:00",,0.1,6.6,22,0,121.792928,24.632203,66
宜蘭,宜蘭縣,33,,良好,1.2,0.18,,36.0,21,5,,,,2,54,"2024-11-18 15:00",,0.2,9.9,19,0,121.746394,24.747917,65
陽明,臺北市,40,,良好,0.7,0.17,43.6,43.7,6,2,0.6,0.9,0.3,,,"2024-11-18 15:00",,0.1,2.6,9,0,121.529583,25.182722,64
花蓮,花蓮縣,38,,良好,1.3,0.2,41,41.7,34,9,3.1,3.6,0.5,3.5,81,"2024-11-18 15:00",,0.2,8.7,32,1,121.599769,23.971306,63
臺東,臺東縣,31,,良好,1.3,0.24,32.7,34.9,12,3,4.6,6.5,1.8,1.4,308,"2024-11-18 15:00",,0.2,3.2,13,1,121.15045,22.755358,62
恆春,屏東縣,40,,良好,0.9,0.15,42.8,43.6,23,10,1.1,1.5,0.4,14.5,31,"2024-11-18 15:00",,0.1,9.3,15,1,120.788928,21.958069,61
潮州,屏東縣,55,細懸浮微粒,普通,0.6,0.25,25.6,14.3,31,19,9.6,11.4,1.8,1.4,348,"2024-11-18 15:00",,0.2,17.2,34,0,120.561175,22.523108,60
屏東,屏東縣,72,細懸浮微粒,普通,1.6,0.42,24.1,13.5,42,26,18.9,22.5,3.5,3,357,"2024-11-18 15:00",,0.4,24,48,1,120.488033,22.673081,59
小港,高雄市,67,細懸浮微粒,普通,1,0.5,20.5,10.0,44,25,30.7,36.6,5.9,1.7,29,"2024-11-18 15:00",,0.6,22.1,44,1,120.337736,22.565833,58
前鎮,高雄市,77,細懸浮微粒,普通,2.1,0.64,21.5,11.4,57,32,25.9,32.7,6.7,3.6,30,"2024-11-18 15:00",,0.6,26.1,47,2,120.30833356,22.6044507,57
前金,高雄市,70,細懸浮微粒,普通,0.8,0.49,22.1,11.5,69,33,26.9,33.7,6.7,4,29,"2024-11-18 15:00",,0.4,23.4,53,1,120.28676111,22.63390278,56
左營,高雄市,61,細懸浮微粒,普通,1.4,0.45,25.3,14.3,59,25,19.7,23.6,3.9,4,18,"2024-11-18 15:00",,0.4,19.5,47,1,120.292917,22.674861,54
楠梓,高雄市,55,細懸浮微粒,普通,1.5,0.35,19.2,14,52,19,21.1,25.9,4.8,3.5,50,"2024-11-18 15:00",,0.3,17.1,43,2,120.328289,22.733667,53
林園,高雄市,73,細懸浮微粒,普通,2.2,0.55,21.8,13.5,58,35,28.4,33.5,5.1,3.4,335,"2024-11-18 15:00",,0.3,24.5,54,2,120.41175,22.4795,52
大寮,高雄市,69,細懸浮微粒,普通,10.3,0.5,,7.6,,,32.7,39.4,6.6,2.4,45,"2024-11-18 15:00",,0.5,22.7,33,1,120.425311,22.56413611,51
鳳山,高雄市,75,細懸浮微粒,普通,1.3,0.62,17.9,9.2,55,30,26.8,34.1,7.3,0.6,242,"2024-11-18 15:00",,0.9,25.2,48,1,120.357422,22.628126,50
仁武,高雄市,75,細懸浮微粒,普通,2.5,0.62,20.3,13.2,43,30,24.4,30.3,5.8,4.5,354,"2024-11-18 15:00",,0.4,25.3,45,1,120.332631,22.689056,49
橋頭,高雄市,69,細懸浮微粒,普通,2,0.35,23.1,16.7,42,24,19.9,23.9,3.9,3.5,21,"2024-11-18 15:00",,0.3,22.8,42,1,120.305689,22.757506,48
美濃,高雄市,47,,良好,,0.32,,10.2,24,,11.6,13.8,2.1,1.9,10,"2024-11-18 15:00",,0.2,14.5,27,0,120.530542,22.883583,47
臺南,臺南市,50,,良好,1.3,0.3,33.2,28,63,15,15.7,17.5,1.7,3.7,11,"2024-11-18 15:00",,0.3,12.2,50,0,120.21947897,22.98928311,46
安南,臺南市,49,,良好,,,,,,,,,,,,"2024-11-18 15:00",,0.3,11.1,49,1,120.2175,23.048197,45
善化,臺南市,35,,良好,1.7,0.2,35.3,30.6,47,12,8.5,10.4,1.9,2.6,13,"2024-11-18 15:00",,0.2,10.7,30,1,120.29740529,23.11337642,44
新營,臺南市,37,,良好,1.3,0.23,41,33.6,45,10,9.2,10.5,1.2,2.5,31,"2024-11-18 15:00",,0.2,10.2,37,1,120.31725,23.305633,43
嘉義,嘉義市,41,,良好,2.6,0.26,,30.2,40,18,10.3,11.8,1.4,1.7,38,"2024-11-18 15:00",,0.2,12.7,27,4,120.44125148,23.46477865,42
臺西,雲林縣,53,懸浮微粒,普通,0.9,0.2,38.8,39.8,46,13,5.6,5.9,0.2,7.4,25,"2024-11-18 15:00",,0.1,14.7,53,1,120.19933333,23.702175,41
朴子,嘉義縣,77,懸浮微粒,普通,2.3,0.26,37.5,37.1,95,11,8.3,10.5,2.1,2.2,348,"2024-11-18 15:00",,0.2,9.4,77,1,120.2478,23.46538,40
新港,嘉義縣,56,懸浮微粒,普通,2.5,0.26,37.8,39.4,125,20,10.1,11.9,1.7,2.9,5,"2024-11-18 15:00",,0.1,11.5,56,2,120.345531,23.554839,39
崙背,雲林縣,99,懸浮微粒,普通,1.4,0.28,33.9,37,60,16,9.5,11,1.4,1.8,7,"2024-11-18 15:00",,0.2,15.7,99,0,120.348742,23.757547,38
斗六,雲林縣,32,,良好,1.6,0.22,41.6,35.2,30,13,8.8,10.7,1.8,1.8,338,"2024-11-18 15:00",,0.2,9.1,22,1,120.544994,23.711853,37
南投,南投縣,29,,良好,1.4,0.25,32.9,31.7,25,8,13.4,14.9,1.4,1.3,351,"2024-11-18 15:00",,0.3,8,19,1,120.685306,23.913,36
二林,彰化縣,38,,良好,1.2,0.19,39.3,41.8,30,8,6.6,7.3,0.7,5.8,25,"2024-11-18 15:00",,0.2,7,35,1,120.409653,23.925175,35
線西,彰化縣,35,,良好,1.3,0.17,37.8,38.7,21,6,6.8,7.9,1.1,7.7,34,"2024-11-18 15:00",,0.1,8.5,31,1,120.469061,24.131672,34
彰化,彰化縣,32,,良好,0.8,0.23,30.8,35.1,21,5,11.4,13.6,2.2,3,24,"2024-11-18 15:00",,0.2,5.6,17,0,120.541519,24.066,33
西屯,臺中市,31,,良好,1.1,0.18,34.2,35.0,,2,5.1,6.5,1.4,4.1,6,"2024-11-18 15:00",,0.1,2.4,,1,120.616917,24.162197,32
忠明,臺中市,30,,良好,1.2,0.25,26.6,32.5,20,4,13,15.9,2.9,2.6,327,"2024-11-18 15:00",,0.2,4.1,16,1,120.641092,24.151958,31
大里,臺中市,31,,良好,1.2,0.22,32.5,33.2,18,6,8.6,10.8,2.2,2.3,3,"2024-11-18 15:00",,0.2,4.5,13,1,120.67844444,24.09961111,30
沙鹿,臺中市,34,,良好,1,0.18,34.4,38.0,22,5,7.6,9.1,1.4,4.3,34,"2024-11-18 15:00",,0.1,6,25,0,120.568794,24.225628,29
豐原,臺中市,32,,良好,1.4,0.2,33.6,36.0,15,3,5.5,6.3,0.8,1.9,4,"2024-11-18 15:00",,0.2,1.8,12,0,120.74252414,24.25699731,28
三義,苗栗縣,36,,良好,0.5,,36.5,39.8,7,5,5.1,6.1,0.9,5.9,17,"2024-11-18 15:00",,,4.1,10,0,120.75956754,24.38248443,27
苗栗,苗栗縣,36,,良好,1.8,0.17,38.5,39.8,15,4,4.7,5.9,1.2,4.7,18,"2024-11-18 15:00",,0.1,4.7,18,1,120.82011468,24.56499183,26
頭份,苗栗縣,36,,良好,1.4,0.18,39.3,39.9,20,8,6,7.8,1.7,4.3,46,"2024-11-18 15:00",,0.1,8.4,21,1,120.89869286,24.69690679,25
新竹,新竹市,31,,良好,0.9,0.22,32.2,34.3,17,8,10.9,12.4,1.4,4,32,"2024-11-18 15:00",,0.2,7.4,21,1,120.97236752,24.8056356,24
竹東,新竹縣,37,,良好,0.4,0.15,39.5,40.4,8,4,3.4,4.4,0.9,7.3,26,"2024-11-18 15:00",,0.1,2.4,11,0,121.08895493,24.74091408,23
湖口,新竹縣,34,,良好,1.3,0.17,36.1,37.3,14,7,5.8,7.4,1.5,7.7,42,"2024-11-18 15:00",,0.1,6.7,20,1,121.03886894,24.90009696,22
龍潭,桃園市,32,,良好,0.3,0.16,34.4,35.6,8,,6.9,8.4,1.4,,,"2024-11-18 15:00",,0.1,7.3,12,0,121.21645772,24.86400048,21
